ELL,Min_POP,Last_Fail,First_Success
5,2,1,2
10,3,2,5
15,39,20,40
20,166,160,320
25,186,160,320
30,218,160,320
35,220,160,320
40,481,320,640
45,554,320,640
50,470,320,640
55,739,640,1280
60,826,640,1280
65,921,640,1280
70,937,640,1280
75,1321,1280,2560
80,1202,640,1280
85,1111,640,1280
90,1366,1280,2560
95,1239,640,1280
100,1528,1280,2560
105,1761,1280,2560
110,1740,1280,2560
115,1760,1280,2560
120,1747,1280,2560
125,2082,1280,2560
130,2490,1280,2560
135,2586,2560,5120
140,2396,1280,2560
145,2472,1280,2560
150,2931,2560,5120
155,3211,2560,5120
160,2795,2560,5120
165,3042,2560,5120
170,3841,2560,5120
175,3198,2560,5120
180,3344,2560,5120
185,5181,5120,10240
190,3619,2560,5120
195,4848,2560,5120
200,5281,5120,10240
205,3760.0,2560,5120.0
210,9795.0,5120,10240.0
215,6974.0,5120,10240.0
220,10080.0,5120,10240.0
225,4600.0,2560,5120.0
230,6559.0,5120,10240.0
235,8262.0,5120,10240.0
240,5120.0,2560,5120.0
245,,655360,
250,9200.0,5120,10240.0
255,6707.0,5120,10240.0
260,,655360,
265,9597.0,5120,10240.0
270,,655360,
275,,655360,
280,,655360,
285,,655360,
290,,655360,
295,,655360,
300,10240.0,5120,10240.0